ISO,Records,Downloads,Users
US,70149860295,9355,1257
MX,130023757456,8137,1324
IL,207731760,5771,11
BR,77622556966,5400,569
GB,29780872711,3591,581
CN,37806778189,3510,388
CO,64664052557,3057,517
ES,16964402318,2774,541
DE,5584885632,2194,181
DK,3706516206,1977,45
CL,11715003561,1868,126
CA,11049565223,1155,205
AU,5795224619,1045,128
IN,8808651027,968,104
FR,5210791528,942,134
PE,9808105918,864,159
EC,13953292133,784,149
AR,5933861300,720,117
IT,1774949892,582,84
NZ,4091774804,537,66
ZA,16516334933,499,151
PT,9190346280,456,110
BE,231966076,433,73
CH,2971003078,423,34
EG,2001800665,394,26
KW,2940,304,1
PY,623937,284,3
NO,2175480010,281,59
NL,1092304473,271,58
FI,1184677288,242,20
IR,3152759682,214,23
SE,2704169635,211,49
JP,5144361681,188,34
PH,7571618691,174,38
BJ,6054734296,173,36
TW,3260904658,154,44
PK,2511541,154,7
RU,2955955617,152,50
CZ,1031984533,150,21
PL,970100597,149,36
MY,7219059,140,13
TH,80690891,128,11
GT,1945061000,112,38
KR,3942766206,101,33
CR,5134612093,85,29
DZ,60643824,82,3
NP,1953552977,76,15
VE,3020117366,74,19
IE,15871113,69,16
GR,1878425594,64,20
SZ,25405768,59,3
AT,5971642,59,18
ID,9662086,58,23
BN,1101944,57,5
TR,1872288649,51,21
PA,994584039,50,14
MZ,2528961,44,5
CI,4710754,41,4
BO,1000516669,35,15
MG,992910709,35,13
UA,874549,32,9
LK,6231470,31,6
HK,13445137,31,15
CM,1958968896,31,10
KE,1032333265,28,15
CU,194616,26,6
HU,1004914017,25,12
LT,1446155,25,6
RS,385843,25,5
BW,24304587,24,4
SN,3782,24,2
TD,968428781,22,1
UG,4562625,21,8
TZ,984166099,21,11
SG,56475418,20,11
HT,15552485,20,1
TG,1192235651,19,5
TN,23556721,18,8
UY,987308271,16,7
ZW,484011,16,4
MW,3815631,16,6
AL,35925,16,3
EE,586557955,16,6
HR,212724,15,4
RO,231311,15,7
VN,5217615,14,9
ZM,61645,14,3
SK,85177,13,4
AE,1241443,13,3
BG,986708668,13,6
MA,3109281,12,6
LU,54894612,12,8
NC,965616428,12,5
MN,419754,11,3
GH,201972,10,5
ET,982136645,9,7
AO,95295,8,3
NG,5645675,8,4
TT,982211777,8,3
IS,215137825,8,4
DO,1323,7,2
PR,988887052,7,5
MU,254915,7,1
SI,890086928,6,3
RW,736324,5,1
BI,17052,5,1
NA,7128,5,1
BF,18339,5,2
AF,968504581,5,1
LB,1896,4,1
HN,890158225,4,1
KG,30289,4,2
GF,2610,3,2
KZ,8128,3,2
JM,32927,3,1
GY,508,3,1
SA,400432,3,2
BA,74150,3,3
WS,1560445,3,2
CV,21411,2,1
GE,299,2,1
MQ,42,2,1
GN,2579,2,1
VU,68,2,1
WF,3912,2,1
GU,55681,2,1
UM,1851,2,1
CD,13030,2,1
AD,890034798,2,1
SV,38908,1,1
SR,280,1,1
SD,28588,1,1
CY,760,1,1
LY,8189,1,1
NE,2903,1,1
MT,1189,1,1
UZ,38,1,1
MK,47682,1,1
LA,4,1,1
ME,18208,1,1
